user_id,avg_likes,avg_comments,avg_engagement,avg_sentiment,neg_post_ratio,total_posts,avg_post_interval,avg_emotional_words,night_activity_ratio,engagement_volatility
u001,189.0,29.0,218.0,0.1758727272727273,0.22727272727272727,22,16457.14285714286,0.2727272727272727,0.2727272727272727,84.84607912483135
u002,157.5909090909091,22.227272727272727,179.8181818181818,0.29300909090909094,0.045454545454545456,22,18514.285714285714,0.09090909090909091,0.3181818181818182,93.93900572465517
u003,140.0952380952381,27.571428571428573,167.66666666666666,0.32495238095238094,0.14285714285714285,21,18360.0,0.23809523809523808,0.2857142857142857,83.19154604485563
u004,134.3684210526316,26.57894736842105,160.94736842105263,0.37561578947368424,0.05263157894736842,19,21600.0,0.15789473684210525,0.3157894736842105,84.91857124734294
u005,182.0,27.85,209.85,0.2726,0.2,20,16105.263157894737,0.25,0.3,66.1101751862593
u006,146.16666666666666,22.22222222222222,168.38888888888889,0.2880388888888889,0.1111111111111111,18,21600.0,0.2222222222222222,0.16666666666666666,96.53413836193415
u007,127.38888888888889,26.555555555555557,153.94444444444446,0.33503333333333335,0.1111111111111111,18,18000.0,0.2222222222222222,0.5,92.12681299818534
u008,149.94444444444446,28.333333333333332,178.27777777777777,0.29712222222222223,0.05555555555555555,18,21600.0,0.16666666666666666,0.1111111111111111,72.83406245428556
u009,154.22222222222223,22.055555555555557,176.27777777777777,0.29685,0.05555555555555555,18,21600.0,0.16666666666666666,0.05555555555555555,80.6691176098246
u010,125.05,28.0,153.05,0.4977349999999999,0.0,20,18189.473684210527,0.15,0.1,79.20956547764855
u011,175.52631578947367,22.894736842105264,198.42105263157896,0.2787105263157895,0.15789473684210525,19,14000.0,0.2631578947368421,0.3157894736842105,81.61380315545328
u012,124.38888888888889,21.11111111111111,145.5,0.2529722222222222,0.1111111111111111,18,13764.70588235294,0.1111111111111111,0.4444444444444444,91.561775995933
u013,150.95238095238096,17.714285714285715,168.66666666666666,0.3360190476190476,0.047619047619047616,21,20520.0,0.14285714285714285,0.23809523809523808,84.61284378469578
u014,167.0909090909091,24.818181818181817,191.9090909090909,0.2119,0.13636363636363635,22,18514.285714285714,0.22727272727272727,0.13636363636363635,83.91997837560953
