user_id,avg_likes,avg_comments,avg_engagement,avg_sentiment,neg_post_ratio,total_posts,avg_post_interval,avg_emotional_words,night_activity_ratio,engagement_volatility,label
u001,189.0,29.0,218.0,0.1758727272727273,0.2272727272727272,22,16457.14285714286,0.2272727272727272,0.2727272727272727,84.84607912483135,0
u002,157.5909090909091,22.227272727272727,179.8181818181818,0.2930090909090909,0.0454545454545454,22,18514.285714285717,0.0454545454545454,0.3181818181818182,93.93900572465516,0
u003,140.0952380952381,27.571428571428573,167.66666666666666,0.3249523809523809,0.1428571428571428,21,18360.0,0.1428571428571428,0.2857142857142857,83.19154604485563,0
u004,134.3684210526316,26.57894736842105,160.94736842105263,0.3756157894736842,0.0526315789473684,19,21600.0,0.0526315789473684,0.3157894736842105,84.91857124734294,0
u005,182.0,27.85,209.85,0.2726,0.2,20,16105.263157894737,0.2,0.3,66.1101751862593,0
u006,144.78947368421052,22.0,166.78947368421052,0.3102578947368421,0.1052631578947368,19,20400.0,0.1052631578947368,0.1578947368421052,94.0730088503182,0
u007,127.38888888888889,26.55555555555556,153.94444444444446,0.3350333333333333,0.1111111111111111,18,18000.0,0.1111111111111111,0.5,92.12681299818534,1
u008,156.0,28.105263157894736,184.10526315789477,0.2814842105263158,0.0526315789473684,19,20400.0,0.0526315789473684,0.1578947368421052,75.20187256596009,0
u009,154.22222222222223,22.05555555555556,176.27777777777777,0.29685,0.0555555555555555,18,21600.0,0.0555555555555555,0.0555555555555555,80.6691176098246,0
u010,125.05,28.0,153.05,0.4977349999999999,0.0,20,18189.473684210527,0.0,0.1,79.20956547764855,0
u011,175.52631578947367,22.894736842105264,198.42105263157896,0.2787105263157895,0.1578947368421052,19,14000.0,0.1578947368421052,0.3157894736842105,81.61380315545328,0
u012,124.94736842105264,21.0,145.94736842105263,0.2826684210526315,0.1052631578947368,19,13000.0,0.1052631578947368,0.4736842105263157,89.00341671607053,1
u013,150.95238095238096,17.714285714285715,168.66666666666666,0.3360190476190476,0.0476190476190476,21,20520.0,0.0476190476190476,0.238095238095238,84.61284378469578,0
u014,167.0909090909091,24.818181818181817,191.9090909090909,0.2119,0.1363636363636363,22,18514.285714285717,0.1363636363636363,0.1363636363636363,83.91997837560953,0
u015,147.3,26.75,174.05,0.40193,0.1,20,20463.157894736843,0.1,0.5,82.96700358703168,1
u016,154.05555555555554,24.88888888888889,178.94444444444446,0.2952944444444444,0.1111111111111111,18,20329.41176470588,0.1111111111111111,0.2222222222222222,78.71428020694042,0
u017,168.23809523809524,28.80952380952381,197.04761904761904,0.2685714285714285,0.0952380952380952,21,19440.0,0.0952380952380952,0.3333333333333333,70.76332114201269,0
u018,129.66666666666666,26.666666666666668,156.33333333333334,0.4704190476190476,0.0952380952380952,21,16200.0,0.0952380952380952,0.3809523809523809,80.41164923898361,0
u019,166.0,30.11111111111111,196.11111111111111,0.1886222222222222,0.1666666666666666,18,16517.647058823528,0.1666666666666666,0.3333333333333333,101.96994302756944,0
u020,133.6818181818182,26.045454545454547,159.72727272727272,0.4060181818181818,0.0454545454545454,22,19542.85714285714,0.0454545454545454,0.4090909090909091,84.5797351717987,1
u021,130.16666666666666,22.0,152.16666666666666,0.2868277777777778,0.2222222222222222,18,19058.82352941177,0.2222222222222222,0.3333333333333333,88.22181269558067,0
u022,159.0,22.272727272727277,181.27272727272728,0.4001454545454546,0.1363636363636363,22,18514.285714285717,0.1363636363636363,0.4545454545454545,94.58942950013058,1
u023,140.85,26.0,166.85,0.460825,0.05,20,21600.0,0.05,0.25,93.89651358361446,0
u024,165.1818181818182,25.681818181818183,190.8636363636364,0.1914090909090909,0.1363636363636363,22,18514.285714285717,0.1363636363636363,0.2272727272727272,69.12190435988914,0
u025,126.73684210526316,28.05263157894737,154.78947368421052,0.2660263157894736,0.1578947368421052,19,18000.0,0.1578947368421052,0.3157894736842105,84.26847238793694,0
u026,146.10526315789474,17.05263157894737,163.1578947368421,0.4355736842105263,0.0526315789473684,19,20400.0,0.0526315789473684,0.4210526315789473,82.61037273981111,1
u027,177.6,22.15,199.75,0.09496,0.35,20,14778.947368421052,0.35,0.3,77.87566000396166,0
u028,129.8421052631579,27.36842105263158,157.21052631578948,0.3379263157894737,0.1052631578947368,19,17000.0,0.1052631578947368,0.3157894736842105,71.82043886385333,0
u029,171.5,27.2,198.7,0.215605,0.15,20,21600.0,0.15,0.15,87.99288248728448,0
u030,140.36363636363637,22.59090909090909,162.95454545454547,0.3989181818181818,0.0909090909090909,22,21600.0,0.0909090909090909,0.3181818181818182,93.38169356271436,0
u031,184.3636363636364,26.818181818181817,211.1818181818182,0.3664636363636364,0.0909090909090909,22,18514.285714285717,0.0909090909090909,0.1363636363636363,70.4709574516754,0
u032,177.0952380952381,24.33333333333333,201.42857142857144,0.1768095238095238,0.1428571428571428,21,17100.0,0.1428571428571428,0.3333333333333333,82.48185947744597,0
u033,138.3684210526316,22.42105263157895,160.78947368421052,0.3963368421052631,0.0526315789473684,19,19200.0,0.0526315789473684,0.3157894736842105,100.88419045143266,0
u034,148.0952380952381,20.61904761904762,168.71428571428572,0.3576619047619048,0.1428571428571428,21,18360.0,0.1428571428571428,0.0476190476190476,69.77903901397816,0
u035,151.94736842105263,24.157894736842103,176.10526315789474,0.2839578947368421,0.1052631578947368,19,17000.0,0.1052631578947368,0.1578947368421052,91.47792371012686,0
u036,148.16666666666666,27.27777777777778,175.44444444444446,0.3365333333333333,0.2222222222222222,18,19058.82352941177,0.2222222222222222,0.2777777777777778,88.44820499772882,0
