user_id,avg_likes,avg_comments,avg_engagement,avg_sentiment,neg_post_ratio,total_posts,avg_post_interval,avg_emotional_words,label
u001,189.0,29.0,218.0,0.1758727272727273,0.22727272727272727,22,16457.14285714286,0.22727272727272727,0
u002,157.5909090909091,22.227272727272727,179.8181818181818,0.29300909090909094,0.045454545454545456,22,18514.285714285714,0.045454545454545456,0
u003,140.0952380952381,27.571428571428573,167.66666666666666,0.32495238095238094,0.14285714285714285,21,18360.0,0.14285714285714285,0
u004,134.3684210526316,26.57894736842105,160.94736842105263,0.37561578947368424,0.05263157894736842,19,21600.0,0.05263157894736842,0
u005,182.0,27.85,209.85,0.2726,0.2,20,16105.263157894737,0.2,0
u006,144.78947368421052,22.0,166.78947368421052,0.3102578947368421,0.10526315789473684,19,20400.0,0.10526315789473684,0
u007,127.38888888888889,26.555555555555557,153.94444444444446,0.33503333333333335,0.1111111111111111,18,18000.0,0.1111111111111111,0
u008,156.0,28.105263157894736,184.10526315789474,0.2814842105263158,0.05263157894736842,19,20400.0,0.05263157894736842,0
u009,154.22222222222223,22.055555555555557,176.27777777777777,0.29685,0.05555555555555555,18,21600.0,0.05555555555555555,0
u010,125.05,28.0,153.05,0.4977349999999999,0.0,20,18189.473684210527,0.0,0
u011,175.52631578947367,22.894736842105264,198.42105263157896,0.2787105263157895,0.15789473684210525,19,14000.0,0.15789473684210525,0
u012,124.94736842105263,21.0,145.94736842105263,0.28266842105263157,0.10526315789473684,19,13000.0,0.10526315789473684,0
u013,150.95238095238096,17.714285714285715,168.66666666666666,0.3360190476190476,0.047619047619047616,21,20520.0,0.047619047619047616,0
u014,167.0909090909091,24.818181818181817,191.9090909090909,0.2119,0.13636363636363635,22,18514.285714285714,0.13636363636363635,0
u015,147.3,26.75,174.05,0.40193,0.1,20,20463.157894736843,0.1,0
u016,154.05555555555554,24.88888888888889,178.94444444444446,0.29529444444444447,0.1111111111111111,18,20329.41176470588,0.1111111111111111,0
u017,168.23809523809524,28.80952380952381,197.04761904761904,0.26857142857142857,0.09523809523809523,21,19440.0,0.09523809523809523,0
